"행정구역별",2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별",합계출산율 (가임여성 1명당 명),모의 연령별출산율:15~19세 (해당연령 여자인구 1천명당 명),20~24세 (해당연령 여자인구 1천명당 명),25~29세 (해당연령 여자인구 1천명당 명),30~34세 (해당연령 여자인구 1천명당 명),35~39세 (해당연령 여자인구 1천명당 명),40~44세 (해당연령 여자인구 1천명당 명),45~49세 (해당연령 여자인구 1천명당 명)
"기흥구",0.731,0.1,1.3,15.9,71.4,46.9,8.8,0.0
"수지구",0.757,0.0,0.4,12.2,79.2,50.6,7.7,0.0
"파주시",0.756,0.2,4.9,32.3,69.8,38.0,6.3,0.2
"이천시",0.851,0.4,9.4,32.9,82.3,38.6,7.1,0.1
"안성시",0.741,0.2,5.6,32.8,66.8,34.1,7.2,0.6
"김포시",0.836,0.4,5.0,27.8,77.2,47.1,8.9,0.2
"화성시",0.976,0.3,4.7,34.6,97.3,50.0,8.7,0.3
"광주시",0.783,0.7,5.5,28.5,68.4,43.3,9.9,0.1
"양주시",0.934,0.6,6.0,38.2,84.6,45.8,10.5,0.2
"포천시",0.783,1.1,9.6,32.6,69.8,35.8,7.0,0.0
"여주시",0.789,0.4,10.2,31.6,64.3,43.2,7.5,0.0
"연천군",0.895,1.5,8.4,49.8,84.0,35.9,2.0,0.0
"가평군",0.723,0.0,6.9,33.4,61.5,30.4,11.5,0.0
"양평군",0.897,0.0,4.8,36.3,72.6,53.6,9.5,0.5
"강원특별자치도",0.893,0.8,6.3,37.0,80.5,44.6,8.4,0.2
"춘천시",0.789,0.5,4.1,29.7,74.3,40.3,8.0,0.3
"원주시",0.873,0.8,7.7,33.6,78.2,45.8,7.9,0.1
"강릉시",0.846,1.2,4.9,32.0,76.6,46.6,6.2,0.3
"동해시",0.949,0.0,4.4,47.7,83.2,42.3,10.6,0.3
"태백시",0.698,0.0,5.5,25.0,65.0,39.8,3.0,0.0
"속초시",0.761,1.2,9.9,37.0,68.4,27.3,8.9,0.0
"삼척시",1.201,0.8,6.6,51.8,102.2,62.0,12.2,0.0
"홍천군",1.118,0.9,7.7,56.2,101.6,49.2,7.2,0.0
"횡성군",0.924,3.2,5.6,29.1,79.0,51.6,12.7,0.9
"영월군",0.939,0.0,4.1,34.1,96.6,46.2,5.6,0.0
"평창군",0.754,1.6,1.5,21.9,62.1,48.7,11.7,0.0
"정선군",0.971,1.8,3.5,31.8,98.4,49.0,7.0,0.0
"철원군",1.248,0.0,13.4,74.1,86.8,65.7,9.7,0.0
"화천군",1.271,0.0,4.2,83.1,117.4,31.9,17.2,0.0
"양구군",1.278,0.0,4.9,76.5,99.2,58.8,15.7,0.0
"인제군",1.355,0.0,21.1,62.4,130.8,48.7,9.6,0.0
"강원-고성군",0.870,0.0,13.0,35.7,79.6,40.9,4.7,0.0
"양양군",0.824,0.0,6.7,43.2,56.7,39.0,17.5,1.3
"충청북도",0.886,0.7,6.5,36.3,81.7,43.6,7.6,0.1
"충주시",0.942,0.7,7.7,39.0,86.3,45.5,8.5,0.0
"제천시",0.922,1.7,5.8,35.8,83.5,45.3,9.8,0.2
"청주시",0.880,0.4,5.5,35.0,82.8,44.6,7.2,0.2
"상당구",0.862,0.0,4.8,39.3,82.6,38.8,6.4,0.3
"서원구",0.809,0.6,5.1,29.4,73.4,45.8,6.1,0.0
"흥덕구",0.903,0.6,5.5,32.0,85.4,49.2,8.7,0.2
"청원구",0.929,0.2,6.7,42.0,86.8,42.5,6.9,0.1
"보은군",0.856,0.0,6.6,35.5,78.0,45.8,4.9,0.0
"옥천군",0.754,1.1,9.3,31.3,62.5,35.1,6.3,0.7
"영동군",0.866,2.6,3.6,31.3,86.4,40.9,4.2,0.0
